22:47:16 | CLIENT | SENT | DATA | 2300 | CLIENT | RELAY1 |
22:47:17 | RELAY1 | DROP | DATA | 2000 | CLIENT | SERVER |
22:47:17 | RELAY2 | TIMEOUT | DATA | 2100 | CLIENT | SERVER |
22:47:17 | SERVER | RCVD | DATA | 2100 | SERVER | RELAY1 |
22:47:17 | SERVER | RCVD | ACK | 2100 | SERVER | RELAY2 |
22:47:17 | RELAY2 | TIMEOUT | ACK | 2100 | SERVER | CLIENT |
22:47:17 | SERVER | RCVD | DATA | 2000 | SERVER | RELAY1 |
22:47:17 | RELAY2 | TIMEOUT | DATA | 2100 | SERVER | CLIENT |
22:47:17 | SERVER | RCVD | ACK | 2000 | SERVER | RELAY2 |
22:47:17 | RELAY1 | DROP | ACK | 2000 | SERVER | CLIENT |
22:47:17 | RELAY2 | TIMEOUT | DATA | 2300 | SERVER | CLIENT |
22:47:17 | CLIENT | SENT | ACK | 2100 | RELAY1 | CLIENT |
22:47:17 | RELAY1 | DROP | DATA | 2000 | SERVER | CLIENT |
22:47:17 | CLIENT | SENT | ACK | 2000 | RELAY1 | CLIENT |
22:47:17 | RELAY1 | DROP | DATA | 2200 | SERVER | CLIENT |
22:47:18 | SERVER | RCVD | DATA | 2200 | SERVER | RELAY1 |
22:47:18 | RELAY1 | DROP | DATA | 2200 | CLIENT | SERVER |
22:47:18 | RELAY2 | TIMEOUT | DATA | 2300 | CLIENT | SERVER |
22:47:18 | SERVER | RCVD | ACK | 2200 | SERVER | RELAY2 |
22:47:18 | SERVER | RCVD | DATA | 2300 | SERVER | RELAY1 |
22:47:18 | RELAY1 | DROP | ACK | 2200 | SERVER | CLIENT |
22:47:18 | SERVER | RCVD | ACK | 2300 | SERVER | RELAY2 |
22:47:18 | RELAY1 | DROP | DATA | 2200 | SERVER | CLIENT |
22:47:18 | RELAY2 | TIMEOUT | ACK | 2300 | SERVER | CLIENT |
22:47:18 | CLIENT | SENT | ACK | 2200 | RELAY1 | CLIENT |
22:47:18 | RELAY2 | TIMEOUT | DATA | 2300 | SERVER | CLIENT |
22:47:18 | CLIENT | SENT | ACK | 2300 | RELAY1 | CLIENT |
22:47:18 | CLIENT | SENT | DATA | 2400 | CLIENT | RELAY1 |
22:47:18 | CLIENT | SENT | DATA | 2500 | CLIENT | RELAY1 |
22:47:18 | RELAY1 | DROP | DATA | 2400 | SERVER | CLIENT |
22:47:18 | CLIENT | SENT | DATA | 2600 | CLIENT | RELAY1 |
22:47:18 | RELAY2 | TIMEOUT | DATA | 2500 | SERVER | CLIENT |
22:47:18 | CLIENT | SENT | DATA | 2700 | CLIENT | RELAY1 |
22:47:19 | RELAY2 | TIMEOUT | DATA | 2500 | CLIENT | SERVER |
22:47:19 | RELAY1 | DROP | DATA | 2400 | CLIENT | SERVER |
22:47:19 | SERVER | RCVD | DATA | 2500 | SERVER | RELAY1 |
22:47:19 | SERVER | RCVD | ACK | 2500 | SERVER | RELAY2 |
22:47:19 | RELAY2 | TIMEOUT | ACK | 2500 | SERVER | CLIENT |
22:47:19 | SERVER | RCVD | DATA | 2400 | SERVER | RELAY1 |
22:47:19 | RELAY2 | TIMEOUT | DATA | 2500 | SERVER | CLIENT |
22:47:19 | SERVER | RCVD | ACK | 2400 | SERVER | RELAY2 |
22:47:19 | RELAY2 | TIMEOUT | DATA | 2700 | SERVER | CLIENT |
22:47:19 | RELAY1 | DROP | ACK | 2400 | SERVER | CLIENT |
22:47:19 | CLIENT | SENT | ACK | 2500 | RELAY1 | CLIENT |
22:47:19 | RELAY1 | DROP | DATA | 2400 | SERVER | CLIENT |
22:47:19 | CLIENT | SENT | ACK | 2400 | RELAY1 | CLIENT |
22:47:19 | RELAY1 | DROP | DATA | 2600 | SERVER | CLIENT |
22:47:19 | RELAY1 | DROP | DATA | 2600 | CLIENT | SERVER |
22:47:19 | RELAY2 | TIMEOUT | DATA | 2700 | CLIENT | SERVER |
22:47:19 | SERVER | RCVD | DATA | 2600 | SERVER | RELAY1 |
22:47:19 | SERVER | RCVD | ACK | 2600 | SERVER | RELAY2 |
22:47:19 | SERVER | RCVD | DATA | 2700 | SERVER | RELAY1 |
22:47:19 | RELAY1 | DROP | ACK | 2600 | SERVER | CLIENT |
22:47:19 | SERVER | RCVD | ACK | 2700 | SERVER | RELAY2 |
22:47:19 | RELAY1 | DROP | DATA | 2600 | SERVER | CLIENT |
22:47:19 | RELAY2 | TIMEOUT | ACK | 2700 | SERVER | CLIENT |
22:47:19 | RELAY2 | TIMEOUT | DATA | 2700 | SERVER | CLIENT |
22:47:19 | CLIENT | SENT | ACK | 2600 | RELAY1 | CLIENT |
22:47:19 | CLIENT | SENT | ACK | 2700 | RELAY1 | CLIENT |
22:47:24 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:47:29 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:47:34 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:47:39 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:47:44 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:47:49 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:47:54 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:47:59 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:04 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:09 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:14 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:19 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:24 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:29 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:34 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:39 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:44 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:49 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:54 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:48:59 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:04 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:09 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:14 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:19 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:24 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:29 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:34 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:39 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:44 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:49 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:54 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:49:59 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:04 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:09 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:14 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:19 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:24 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:29 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:34 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:39 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:44 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:49 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:54 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:50:59 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:51:05 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:51:10 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:51:15 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:51:20 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:51:25 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:51:30 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:51:35 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:51:40 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:51:45 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
22:51:50 | CLIENT | SENT | DATA | 2800 | CLIENT | RELAY1 |
